mobile_name,rating,price
"Samsung Galaxy A31 (Prism Crush Black, 128 GB)",4.3,"₹17,999"
BlackZone B310,3.9,₹569
BlackZone B310,3.9,₹669
"Honor 9S (Blue, 32 GB)",3.8,"₹5,999"
"Honor 9S (Black, 32 GB)",3.8,"₹5,999"
Karbonn K2 Boom Box,3.9,₹777
Micromax X380,3.9,"₹1,030"
"OPPO A33 (Moonlight Black, 32 GB)",4.2,"₹10,990"
"Infinix Zero 8i (Black Diamond, 128 GB)",4.2,"₹15,999"
"Redmi 8A Dual (Sea Blue, 32 GB)",4.3,"₹7,499"
Kechaoda K33,4.1,₹969
Good One Magic,4,"₹1,399"
Samsung Guru FM Plus,4.2,"₹1,607"
Grabo G312,3.5,₹659
"Redmi Note 9 (Arctic White, 128 GB)",4.3,"₹13,738"
"Redmi Note 9 (Pebble Grey, 128 GB)",4.3,"₹13,561"
"Apple iPhone SE (Black, 128 GB) (Includes EarPods, Power Adapter)",4.5,"₹39,999"
Nokia 5310,4.2,"₹3,325"
Kechaoda K-55 Plus,4,₹974
Kechaoda K-55 Plus,4,"₹1,089"
"Vivo V19 (Mystic Silver, 256 GB)",4.4,"₹27,990"
"Tecno Camon 15 (Fascinating Purple, 64 GB)",4.2,"₹10,499"
Snexian Rock,4,"₹1,199"
Snexian Rock,4,"₹1,199"
Snexian Rock,4,"₹1,199"
Snexian Rock,4,"₹1,199"
"Vivo V20 Pro (Midnight Jazz, 128 GB)",4.4,"₹29,990"
Kechaoda K115,4.1,₹947
Kechaoda K115,4.1,₹924
Kechaoda K115,4.1,₹904
Kechaoda K115,4.1,₹936
Kechaoda K115,4.1,₹914
Gfive U106,3.7,₹669
"OPPO A31 (Lake Green, 128 GB)",4.3,"₹11,990"
Marq By Flipkart M11 Prime,3.9,₹799
Marq By Flipkart M11 Prime,3.9,₹799
Nokia 216,4.2,"₹2,899"
BlackZone B310,3.9,₹669
BlackZone B310,3.9,₹569
